Reactions,Subsystems
FE3HOXUtpp,Inorganic Ion Transport and Metabolism
FECRMabcpp,Inorganic Ion Transport and Metabolism
FECRMexs,Inorganic Ion Transport and Metabolism
FECRMR1,Inorganic Ion Transport and Metabolism
FECRMR2,Inorganic Ion Transport and Metabolism
FECRMR3,Inorganic Ion Transport and Metabolism
FECRMUtex,Inorganic Ion Transport and Metabolism
FECRMUtpp,Inorganic Ion Transport and Metabolism
FEENTERabcpp,Inorganic Ion Transport and Metabolism
FEENTERexs,Inorganic Ion Transport and Metabolism
FEENTERR1,Inorganic Ion Transport and Metabolism
FEENTERR2,Inorganic Ion Transport and Metabolism
FEENTERR3,Inorganic Ion Transport and Metabolism
FEENTERtex,Inorganic Ion Transport and Metabolism
FEOXAMabcpp,Inorganic Ion Transport and Metabolism
FEOXAMexs,Inorganic Ion Transport and Metabolism
FEOXAMR1,Inorganic Ion Transport and Metabolism
FEOXAMR2,Inorganic Ion Transport and Metabolism
FEOXAMR3,Inorganic Ion Transport and Metabolism
FEOXAMUtex,Inorganic Ion Transport and Metabolism
FEOXAMUtpp,Inorganic Ion Transport and Metabolism
FEROpp,Inorganic Ion Transport and Metabolism
H2SO,Inorganic Ion Transport and Metabolism
HG2abcpp,Inorganic Ion Transport and Metabolism
HG2t3pp,Inorganic Ion Transport and Metabolism
Kabcpp,Inorganic Ion Transport and Metabolism
Kt2pp,Inorganic Ion Transport and Metabolism
Kt3pp,Inorganic Ion Transport and Metabolism
MG2t3_2pp,Inorganic Ion Transport and Metabolism
MG2tpp,Inorganic Ion Transport and Metabolism
MG2uabcpp,Inorganic Ion Transport and Metabolism
MN2t3pp,Inorganic Ion Transport and Metabolism
MN2tpp,Inorganic Ion Transport and Metabolism
MOBDabcpp,Inorganic Ion Transport and Metabolism
N2Otpp,Inorganic Ion Transport and Metabolism
NAt3_1p5pp,Inorganic Ion Transport and Metabolism
NAt3_2pp,Inorganic Ion Transport and Metabolism
NAt3pp,Inorganic Ion Transport and Metabolism
NH4tpp,Inorganic Ion Transport and Metabolism
NI2abcpp,Inorganic Ion Transport and Metabolism
NI2t3pp,Inorganic Ion Transport and Metabolism
NI2tpp,Inorganic Ion Transport and Metabolism
NI2uabcpp,Inorganic Ion Transport and Metabolism
NO2t2rpp,Inorganic Ion Transport and Metabolism
NO3t7pp,Inorganic Ion Transport and Metabolism
NOtpp,Inorganic Ion Transport and Metabolism
O2tpp,Inorganic Ion Transport and Metabolism
PIt2rpp,Inorganic Ion Transport and Metabolism
PIuabcpp,Inorganic Ion Transport and Metabolism
SELGTHR,Inorganic Ion Transport and Metabolism
SELGTHR2,Inorganic Ion Transport and Metabolism
SELGTHR3,Inorganic Ion Transport and Metabolism
SELR,Inorganic Ion Transport and Metabolism
SELtpp,Inorganic Ion Transport and Metabolism
SLNTtpp,Inorganic Ion Transport and Metabolism
SO2tpp,Inorganic Ion Transport and Metabolism
SO4t2pp,Inorganic Ion Transport and Metabolism
SULabcpp,Inorganic Ion Transport and Metabolism
TSULabcpp,Inorganic Ion Transport and Metabolism
TUNGSabcpp,Inorganic Ion Transport and Metabolism
ZN2abcpp,Inorganic Ion Transport and Metabolism
ZN2t3pp,Inorganic Ion Transport and Metabolism
ZN2tpp,Inorganic Ion Transport and Metabolism
ZNabcpp,Inorganic Ion Transport and Metabolism
ACOLIPAabctex,Lipopolysaccharide Biosynthesis and Recycling
AGMHE,Lipopolysaccharide Biosynthesis and Recycling
CLIPAabctex,Lipopolysaccharide Biosynthesis and Recycling
COLIPAabcpp,Lipopolysaccharide Biosynthesis and Recycling
COLIPAabctex,Lipopolysaccharide Biosynthesis and Recycling
COLIPAKpp,Lipopolysaccharide Biosynthesis and Recycling
COLIPAPabctex,Lipopolysaccharide Biosynthesis and Recycling
ECA4COLIPAabctex,Lipopolysaccharide Biosynthesis and Recycling
ECA4OALpp,Lipopolysaccharide Biosynthesis and Recycling
ECAP1pp,Lipopolysaccharide Biosynthesis and Recycling
ECAP2pp,Lipopolysaccharide Biosynthesis and Recycling
ECAP3pp,Lipopolysaccharide Biosynthesis and Recycling
ECAtpp,Lipopolysaccharide Biosynthesis and Recycling
EDTXS1,Lipopolysaccharide Biosynthesis and Recycling
EDTXS2,Lipopolysaccharide Biosynthesis and Recycling
EDTXS3,Lipopolysaccharide Biosynthesis and Recycling
EDTXS4,Lipopolysaccharide Biosynthesis and Recycling
ENLIPAabctex,Lipopolysaccharide Biosynthesis and Recycling
GALT1,Lipopolysaccharide Biosynthesis and Recycling
GLCTR1,Lipopolysaccharide Biosynthesis and Recycling
GLCTR2,Lipopolysaccharide Biosynthesis and Recycling
GLCTR3,Lipopolysaccharide Biosynthesis and Recycling
GMHEPAT,Lipopolysaccharide Biosynthesis and Recycling
GMHEPK,Lipopolysaccharide Biosynthesis and Recycling
GMHEPPA,Lipopolysaccharide Biosynthesis and Recycling
HEPK1,Lipopolysaccharide Biosynthesis and Recycling
HEPK2,Lipopolysaccharide Biosynthesis and Recycling
HEPT1,Lipopolysaccharide Biosynthesis and Recycling
HEPT2,Lipopolysaccharide Biosynthesis and Recycling
HEPT3,Lipopolysaccharide Biosynthesis and Recycling
HEPT4,Lipopolysaccharide Biosynthesis and Recycling
K2L4Aabctex,Lipopolysaccharide Biosynthesis and Recycling
KDOCT2,Lipopolysaccharide Biosynthesis and Recycling
KDOPP,Lipopolysaccharide Biosynthesis and Recycling
KDOPS,Lipopolysaccharide Biosynthesis and Recycling
LA4NTpp,Lipopolysaccharide Biosynthesis and Recycling
LIPAabcpp,Lipopolysaccharide Biosynthesis and Recycling
LIPAabctex,Lipopolysaccharide Biosynthesis and Recycling
LIPACabcpp,Lipopolysaccharide Biosynthesis and Recycling
LIPAHT2ex,Lipopolysaccharide Biosynthesis and Recycling
LIPAHTex,Lipopolysaccharide Biosynthesis and Recycling
LPADSS,Lipopolysaccharide Biosynthesis and Recycling
MOAT,Lipopolysaccharide Biosynthesis and Recycling
MOAT2,Lipopolysaccharide Biosynthesis and Recycling
MOAT3C,Lipopolysaccharide Biosynthesis and Recycling
O16A4COLIPAabctex,Lipopolysaccharide Biosynthesis and Recycling
O16A4Lpp,Lipopolysaccharide Biosynthesis and Recycling
O16AP1pp,Lipopolysaccharide Biosynthesis and Recycling
O16AP2pp,Lipopolysaccharide Biosynthesis and Recycling
O16AP3pp,Lipopolysaccharide Biosynthesis and Recycling
O16AT,Lipopolysaccharide Biosynthesis and Recycling
O16AUNDtpp,Lipopolysaccharide Biosynthesis and Recycling
O16GALFT,Lipopolysaccharide Biosynthesis and Recycling
O16GLCT1,Lipopolysaccharide Biosynthesis and Recycling
O16GLCT2,Lipopolysaccharide Biosynthesis and Recycling
PETNT161pp,Lipopolysaccharide Biosynthesis and Recycling
PETNT181pp,Lipopolysaccharide Biosynthesis and Recycling
RHAT1,Lipopolysaccharide Biosynthesis and Recycling
S7PI,Lipopolysaccharide Biosynthesis and Recycling
TDSK,Lipopolysaccharide Biosynthesis and Recycling
U23GAAT,Lipopolysaccharide Biosynthesis and Recycling
UAGAAT,Lipopolysaccharide Biosynthesis and Recycling
UDCPPtppi,Lipopolysaccharide Biosynthesis and Recycling
UDPGDC,Lipopolysaccharide Biosynthesis and Recycling
UDPKAAT,Lipopolysaccharide Biosynthesis and Recycling
UHGADA,Lipopolysaccharide Biosynthesis and Recycling
ULA4NFT,Lipopolysaccharide Biosynthesis and Recycling
ULA4Ntppi,Lipopolysaccharide Biosynthesis and Recycling
UPLA4FNF,Lipopolysaccharide Biosynthesis and Recycling
UPLA4FNT,Lipopolysaccharide Biosynthesis and Recycling
USHD,Lipopolysaccharide Biosynthesis and Recycling
ACACT1r,Membrane Lipid Metabolism
ACACT2r,Membrane Lipid Metabolism
ACACT3r,Membrane Lipid Metabolism
ACACT4r,Membrane Lipid Metabolism
ACACT5r,Membrane Lipid Metabolism
ACACT6r,Membrane Lipid Metabolism
ACACT7r,Membrane Lipid Metabolism
ACACT8r,Membrane Lipid Metabolism
ACCOAC,Membrane Lipid Metabolism
ACOAD1f,Membrane Lipid Metabolism
ACOAD2f,Membrane Lipid Metabolism
ACOAD3f,Membrane Lipid Metabolism
ACOAD4f,Membrane Lipid Metabolism
ACOAD5f,Membrane Lipid Metabolism
ACOAD6f,Membrane Lipid Metabolism
ACOAD7f,Membrane Lipid Metabolism
ACOAD8f,Membrane Lipid Metabolism
ACOATA,Membrane Lipid Metabolism
CTECOAI6,Membrane Lipid Metabolism
CTECOAI7,Membrane Lipid Metabolism
CTECOAI8,Membrane Lipid Metabolism
ECOAH1,Membrane Lipid Metabolism
ECOAH2,Membrane Lipid Metabolism
ECOAH3,Membrane Lipid Metabolism
ECOAH4,Membrane Lipid Metabolism
ECOAH5,Membrane Lipid Metabolism
ECOAH6,Membrane Lipid Metabolism
ECOAH7,Membrane Lipid Metabolism
ECOAH8,Membrane Lipid Metabolism
HACD1,Membrane Lipid Metabolism
HACD2,Membrane Lipid Metabolism
HACD3,Membrane Lipid Metabolism
HACD4,Membrane Lipid Metabolism
HACD5,Membrane Lipid Metabolism
HACD6,Membrane Lipid Metabolism
HACD7,Membrane Lipid Metabolism
HACD8,Membrane Lipid Metabolism
KAS14,Membrane Lipid Metabolism
KAS15,Membrane Lipid Metabolism
MACPD,Membrane Lipid Metabolism
MCOATA,Membrane Lipid Metabolism
AHCYSNS,Methionine Metabolism
CYSTL,Methionine Metabolism
DHPTDCs2,Methionine Metabolism
HCYSMT,Methionine Metabolism
HCYSMT2,Methionine Metabolism
HSST,Methionine Metabolism
METAT,Methionine Metabolism
METOX1s,Methionine Metabolism
METOX2s,Methionine Metabolism
METS,Methionine Metabolism
METSOXR1,Methionine Metabolism
METSOXR2,Methionine Metabolism
MTHTHFSs,Methionine Metabolism
RHCCE,Methionine Metabolism
SHSL1,Methionine Metabolism
AACTOOR,Methylglyoxal Metabolism
ALR2,Methylglyoxal Metabolism
GLYOX,Methylglyoxal Metabolism
GLYOX3,Methylglyoxal Metabolism
LALDO2x,Methylglyoxal Metabolism
LALDO3,Methylglyoxal Metabolism
LCARR,Methylglyoxal Metabolism
LGTHL,Methylglyoxal Metabolism
MGSA,Methylglyoxal Metabolism
MCTP1App,Murein Biosynthesis
MCTP1Bpp,Murein Biosynthesis
MCTP2App,Murein Biosynthesis
MDDCP1pp,Murein Biosynthesis
MDDCP2pp,Murein Biosynthesis
MDDCP3pp,Murein Biosynthesis
MDDCP4pp,Murein Biosynthesis
MDDCP5pp,Murein Biosynthesis
MLDCP1App,Murein Biosynthesis
MLDCP1Bpp,Murein Biosynthesis
MLDCP2App,Murein Biosynthesis
MLDCP2Bpp,Murein Biosynthesis
MLDCP3App,Murein Biosynthesis
MPTG,Murein Biosynthesis
MPTG2,Murein Biosynthesis
3PEPTabcpp,Murein Recycling
4PCP,Murein Recycling
4PCPpp,Murein Recycling
4PEPTabcpp,Murein Recycling
ACGAMK,Murein Recycling
AGM3PA,Murein Recycling
AGM3PApp,Murein Recycling
AGM3PH,Murein Recycling
AGM3Pt2pp,Murein Recycling
AGM4PA,Murein Recycling
AGM4PApp,Murein Recycling
AGM4PCP,Murein Recycling
AGM4PCPpp,Murein Recycling
AGM4PH,Murein Recycling
AGM4Pt2pp,Murein Recycling
AGMH,Murein Recycling
AGMt2pp,Murein Recycling
ALAALAD,Murein Recycling
ALAGLUE,Murein Recycling
AM3PA,Murein Recycling
AM4PA,Murein Recycling
AM4PCP,Murein Recycling
ANHMK,Murein Recycling
LADGMDH,Murein Recycling
LALGP,Murein Recycling
MDDEP1pp,Murein Recycling
MDDEP2pp,Murein Recycling
MDDEP3pp,Murein Recycling
MDDEP4pp,Murein Recycling
MLDEP1pp,Murein Recycling
MLDEP2pp,Murein Recycling
MLTGY1pp,Murein Recycling
MLTGY2pp,Murein Recycling
MLTGY3pp,Murein Recycling
MLTGY4pp,Murein Recycling
UM3PL,Murein Recycling
UM4PCP,Murein Recycling
UM4PL,Murein Recycling
42A12BOOXpp,Nitrogen Metabolism
ALLTN,Nitrogen Metabolism
CYNTAH,Nitrogen Metabolism
NHFRBO,Nitrogen Metabolism
NO3R1bpp,Nitrogen Metabolism
NO3R2bpp,Nitrogen Metabolism
NODOx,Nitrogen Metabolism
NODOy,Nitrogen Metabolism
NTRIR3pp,Nitrogen Metabolism
NTRIR4pp,Nitrogen Metabolism
PEAMNOpp,Nitrogen Metabolism
TYROXDApp,Nitrogen Metabolism
UGLYCH,Nitrogen Metabolism
23PDE2pp,Nucleotide Salvage Pathway
23PDE4pp,Nucleotide Salvage Pathway
23PDE7pp,Nucleotide Salvage Pathway
23PDE9pp,Nucleotide Salvage Pathway
3AMACHYD,Nucleotide Salvage Pathway
3NTD2pp,Nucleotide Salvage Pathway
3NTD4pp,Nucleotide Salvage Pathway
3NTD7pp,Nucleotide Salvage Pathway
3NTD9pp,Nucleotide Salvage Pathway
ADA,Nucleotide Salvage Pathway
ADD,Nucleotide Salvage Pathway
ADK1,Nucleotide Salvage Pathway
ADK3,Nucleotide Salvage Pathway
ADK4,Nucleotide Salvage Pathway
ADNCYC,Nucleotide Salvage Pathway
ADNK1,Nucleotide Salvage Pathway
ADPRDP,Nucleotide Salvage Pathway
ADPT,Nucleotide Salvage Pathway
AMPN,Nucleotide Salvage Pathway
AP4AH,Nucleotide Salvage Pathway
AP4AS,Nucleotide Salvage Pathway
AP5AH,Nucleotide Salvage Pathway
ATPHs,Nucleotide Salvage Pathway
CBMD,Nucleotide Salvage Pathway
CMPN,Nucleotide Salvage Pathway
CSND,Nucleotide Salvage Pathway
CYTD,Nucleotide Salvage Pathway
CYTDK2,Nucleotide Salvage Pathway
CYTK1,Nucleotide Salvage Pathway
CYTK2,Nucleotide Salvage Pathway
DADA,Nucleotide Salvage Pathway
DADK,Nucleotide Salvage Pathway
DATPHs,Nucleotide Salvage Pathway
DCTPD,Nucleotide Salvage Pathway
DCYTD,Nucleotide Salvage Pathway
DGK1,Nucleotide Salvage Pathway
DTMPK,Nucleotide Salvage Pathway
DURADx,Nucleotide Salvage Pathway
DURIK1,Nucleotide Salvage Pathway
DURIPP,Nucleotide Salvage Pathway
DUTPDP,Nucleotide Salvage Pathway
GK1,Nucleotide Salvage Pathway
GP4GH,Nucleotide Salvage Pathway
GSNK,Nucleotide Salvage Pathway
GTPHs,Nucleotide Salvage Pathway
GUACYC,Nucleotide Salvage Pathway
GUAD,Nucleotide Salvage Pathway
GUAPRT,Nucleotide Salvage Pathway
HXAND,Nucleotide Salvage Pathway
HXPRT,Nucleotide Salvage Pathway
INSH,Nucleotide Salvage Pathway
INSK,Nucleotide Salvage Pathway
MSAR,Nucleotide Salvage Pathway
NDPK1,Nucleotide Salvage Pathway
NDPK2,Nucleotide Salvage Pathway
NDPK3,Nucleotide Salvage Pathway
NDPK4,Nucleotide Salvage Pathway
NDPK5,Nucleotide Salvage Pathway
NDPK6,Nucleotide Salvage Pathway
NDPK7,Nucleotide Salvage Pathway
NDPK8,Nucleotide Salvage Pathway
NNATr,Nucleotide Salvage Pathway
NTD1,Nucleotide Salvage Pathway
NTD10,Nucleotide Salvage Pathway
NTD10pp,Nucleotide Salvage Pathway
NTD11,Nucleotide Salvage Pathway
NTD11pp,Nucleotide Salvage Pathway
NTD12,Nucleotide Salvage Pathway
NTD12pp,Nucleotide Salvage Pathway
NTD1pp,Nucleotide Salvage Pathway
NTD2,Nucleotide Salvage Pathway
NTD2pp,Nucleotide Salvage Pathway
NTD3,Nucleotide Salvage Pathway
NTD3pp,Nucleotide Salvage Pathway
NTD4,Nucleotide Salvage Pathway
NTD4pp,Nucleotide Salvage Pathway
NTD5,Nucleotide Salvage Pathway
NTD5pp,Nucleotide Salvage Pathway
NTD6,Nucleotide Salvage Pathway
NTD6pp,Nucleotide Salvage Pathway
NTD7,Nucleotide Salvage Pathway
NTD7pp,Nucleotide Salvage Pathway
NTD8,Nucleotide Salvage Pathway
NTD8pp,Nucleotide Salvage Pathway
NTD9,Nucleotide Salvage Pathway
NTD9pp,Nucleotide Salvage Pathway
NTP1,Nucleotide Salvage Pathway
NTP10,Nucleotide Salvage Pathway
NTP11,Nucleotide Salvage Pathway
NTP12,Nucleotide Salvage Pathway
NTP3,Nucleotide Salvage Pathway
NTP3pp,Nucleotide Salvage Pathway
NTP5,Nucleotide Salvage Pathway
NTPP1,Nucleotide Salvage Pathway
NTPP10,Nucleotide Salvage Pathway
NTPP11,Nucleotide Salvage Pathway
NTPP2,Nucleotide Salvage Pathway
NTPP3,Nucleotide Salvage Pathway
NTPP4,Nucleotide Salvage Pathway
NTPP5,Nucleotide Salvage Pathway
NTPP6,Nucleotide Salvage Pathway
NTPP7,Nucleotide Salvage Pathway
NTPP8,Nucleotide Salvage Pathway
NTPP9,Nucleotide Salvage Pathway
NTPTP1,Nucleotide Salvage Pathway
NTPTP2,Nucleotide Salvage Pathway
PDE1,Nucleotide Salvage Pathway
PDE4,Nucleotide Salvage Pathway
POAACR,Nucleotide Salvage Pathway
PUNP1,Nucleotide Salvage Pathway
PUNP2,Nucleotide Salvage Pathway
PUNP3,Nucleotide Salvage Pathway
PUNP4,Nucleotide Salvage Pathway
PUNP5,Nucleotide Salvage Pathway
PUNP6,Nucleotide Salvage Pathway
PUNP7,Nucleotide Salvage Pathway
PYNP2r,Nucleotide Salvage Pathway
PYROX,Nucleotide Salvage Pathway
RNDR1,Nucleotide Salvage Pathway
RNDR1b,Nucleotide Salvage Pathway
RNDR2,Nucleotide Salvage Pathway
RNDR2b,Nucleotide Salvage Pathway
RNDR3,Nucleotide Salvage Pathway
RNDR3b,Nucleotide Salvage Pathway
RNDR4,Nucleotide Salvage Pathway
RNDR4b,Nucleotide Salvage Pathway
RNTR1c2,Nucleotide Salvage Pathway
RNTR2c2,Nucleotide Salvage Pathway
RNTR3c2,Nucleotide Salvage Pathway
RNTR4c2,Nucleotide Salvage Pathway
TMDK1,Nucleotide Salvage Pathway
TMDPP,Nucleotide Salvage Pathway
TMDS,Nucleotide Salvage Pathway
UMPK,Nucleotide Salvage Pathway
UPPRT,Nucleotide Salvage Pathway
URACPAH,Nucleotide Salvage Pathway
URIK2,Nucleotide Salvage Pathway
XAND,Nucleotide Salvage Pathway
XPPT,Nucleotide Salvage Pathway
XTSNH,Nucleotide Salvage Pathway
ATPS4rpp,Oxidative Phosphorylation
CRNBTCT,Oxidative Phosphorylation
CRNCAL2,Oxidative Phosphorylation
CRNCAR,Oxidative Phosphorylation
CRNCBCT,Oxidative Phosphorylation
CRNCDH,Oxidative Phosphorylation
CRNDCAL2,Oxidative Phosphorylation
CTBTCAL2,Oxidative Phosphorylation
CYTBD2pp,Oxidative Phosphorylation
CYTBDpp,Oxidative Phosphorylation
CYTBO3_4pp,Oxidative Phosphorylation
DMSOR1,Oxidative Phosphorylation
DMSOR1pp,Oxidative Phosphorylation
DMSOR2,Oxidative Phosphorylation
DMSOR2pp,Oxidative Phosphorylation
FDH4pp,Oxidative Phosphorylation
FDH5pp,Oxidative Phosphorylation
G3PD5,Oxidative Phosphorylation
G3PD6,Oxidative Phosphorylation
G3PD7,Oxidative Phosphorylation
GLCDpp,Oxidative Phosphorylation
HYD1pp,Oxidative Phosphorylation
HYD2pp,Oxidative Phosphorylation
HYD3pp,Oxidative Phosphorylation
L-LACD2,Oxidative Phosphorylation
L-LACD3,Oxidative Phosphorylation
LDH_D2,Oxidative Phosphorylation
NADH10,Oxidative Phosphorylation
NADH16pp,Oxidative Phosphorylation
NADH17pp,Oxidative Phosphorylation
NADH18pp,Oxidative Phosphorylation
NADH5,Oxidative Phosphorylation
NADH9,Oxidative Phosphorylation
NADPHQR2,Oxidative Phosphorylation
NADPHQR3,Oxidative Phosphorylation
NADPHQR4,Oxidative Phosphorylation
NADTRHD,Oxidative Phosphorylation
NO3R1pp,Oxidative Phosphorylation
NO3R2pp,Oxidative Phosphorylation
NTRIR2x,Oxidative Phosphorylation
POX,Oxidative Phosphorylation
PPK2r,Oxidative Phosphorylation
PPKr,Oxidative Phosphorylation
QMO2,Oxidative Phosphorylation
QMO3,Oxidative Phosphorylation
SUCDi,Oxidative Phosphorylation
THD2pp,Oxidative Phosphorylation
TMAOR1,Oxidative Phosphorylation
TMAOR1pp,Oxidative Phosphorylation
TMAOR2,Oxidative Phosphorylation
TMAOR2pp,Oxidative Phosphorylation
TRDR,Oxidative Phosphorylation
EDA,Pentose Phosphate Pathway
EDD,Pentose Phosphate Pathway
FBA3,Pentose Phosphate Pathway
G6PDH2r,Pentose Phosphate Pathway
GND,Pentose Phosphate Pathway
PFK_3,Pentose Phosphate Pathway
PGL,Pentose Phosphate Pathway
RPE,Pentose Phosphate Pathway
RPI,Pentose Phosphate Pathway
TALA,Pentose Phosphate Pathway
TKT1,Pentose Phosphate Pathway
TKT2,Pentose Phosphate Pathway
ADSL1r,Purine and Pyrimidine Biosynthesis
ADSL2r,Purine and Pyrimidine Biosynthesis
ADSS,Purine and Pyrimidine Biosynthesis
AICART,Purine and Pyrimidine Biosynthesis
AIRC2,Purine and Pyrimidine Biosynthesis
AIRC3,Purine and Pyrimidine Biosynthesis
ASPCT,Purine and Pyrimidine Biosynthesis
CTPS2,Purine and Pyrimidine Biosynthesis
DHORD2,Purine and Pyrimidine Biosynthesis
DHORD5,Purine and Pyrimidine Biosynthesis
DHORDfum,Purine and Pyrimidine Biosynthesis
DHORTS,Purine and Pyrimidine Biosynthesis
GARFT,Purine and Pyrimidine Biosynthesis
GART,Purine and Pyrimidine Biosynthesis
GLUPRT,Purine and Pyrimidine Biosynthesis
GMPR,Purine and Pyrimidine Biosynthesis
GMPS2,Purine and Pyrimidine Biosynthesis
IMPC,Purine and Pyrimidine Biosynthesis
IMPD,Purine and Pyrimidine Biosynthesis
OMPDC,Purine and Pyrimidine Biosynthesis
ORPT,Purine and Pyrimidine Biosynthesis
PRAGSr,Purine and Pyrimidine Biosynthesis
PRAIS,Purine and Pyrimidine Biosynthesis
PRASCSi,Purine and Pyrimidine Biosynthesis
PRFGS,Purine and Pyrimidine Biosynthesis
ACALD,Pyruvate Metabolism
ACKr,Pyruvate Metabolism
ACS,Pyruvate Metabolism
ALCD2x,Pyruvate Metabolism
FHL,Pyruvate Metabolism
LDH_D,Pyruvate Metabolism
OAADC,Pyruvate Metabolism
PFL,Pyruvate Metabolism
POR5,Pyruvate Metabolism
PTAr,Pyruvate Metabolism
AOBUTDs,Threonine and Lysine Metabolism
APPLDHr,Threonine and Lysine Metabolism
ASAD,Threonine and Lysine Metabolism
ASPK,Threonine and Lysine Metabolism
ATHRDHr,Threonine and Lysine Metabolism
DAPDC,Threonine and Lysine Metabolism
DAPE,Threonine and Lysine Metabolism
DHDPRy,Threonine and Lysine Metabolism
DHDPS,Threonine and Lysine Metabolism
HSDy,Threonine and Lysine Metabolism
HSK,Threonine and Lysine Metabolism
LYSDC,Threonine and Lysine Metabolism
PTHRpp,Threonine and Lysine Metabolism
SDPDS,Threonine and Lysine Metabolism
SDPTA,Threonine and Lysine Metabolism
THDPS,Threonine and Lysine Metabolism
THRA2i,Threonine and Lysine Metabolism
THRAi,Threonine and Lysine Metabolism
THRS,Threonine and Lysine Metabolism
12DGR120tipp,Transport Inner Membrane
12DGR140tipp,Transport Inner Membrane
12DGR141tipp,Transport Inner Membrane
12DGR160tipp,Transport Inner Membrane
12DGR161tipp,Transport Inner Membrane
12DGR180tipp,Transport Inner Membrane
12DGR181tipp,Transport Inner Membrane
12PPDRtpp,Transport Inner Membrane
12PPDStpp,Transport Inner Membrane
14GLUCANabcpp,Transport Inner Membrane
23DAPPAt2pp,Transport Inner Membrane
2AGPA120tipp,Transport Inner Membrane
2AGPA140tipp,Transport Inner Membrane
2AGPA141tipp,Transport Inner Membrane
2AGPA160tipp,Transport Inner Membrane
2AGPA161tipp,Transport Inner Membrane
2AGPA180tipp,Transport Inner Membrane
2AGPA181tipp,Transport Inner Membrane
2AGPE120tipp,Transport Inner Membrane
2AGPE140tipp,Transport Inner Membrane
2AGPE141tipp,Transport Inner Membrane
2AGPE160tipp,Transport Inner Membrane
2AGPE161tipp,Transport Inner Membrane
2AGPE180tipp,Transport Inner Membrane
2AGPE181tipp,Transport Inner Membrane
2AGPG120tipp,Transport Inner Membrane
2AGPG140tipp,Transport Inner Membrane
2AGPG141tipp,Transport Inner Membrane
2AGPG160tipp,Transport Inner Membrane
2AGPG161tipp,Transport Inner Membrane
2AGPG180tipp,Transport Inner Membrane
2AGPG181tipp,Transport Inner Membrane
3HPPtpp,Transport Inner Membrane
5DGLCNt2rpp,Transport Inner Membrane
5MTRtpp,Transport Inner Membrane
ABUTt2pp,Transport Inner Membrane
ACACt2pp,Transport Inner Membrane
ACALDtpp,Transport Inner Membrane
ACGAptspp,Transport Inner Membrane
ACMANAptspp,Transport Inner Membrane
ACMUMptspp,Transport Inner Membrane
ACNAMt2pp,Transport Inner Membrane
ACSERtpp,Transport Inner Membrane
ACt2rpp,Transport Inner Membrane
ACt4pp,Transport Inner Membrane
ADEt2rpp,Transport Inner Membrane
ADNt2pp,Transport Inner Membrane
ADNt2rpp,Transport Inner Membrane
ADOCBLabcpp,Transport Inner Membrane
AKGt2rpp,Transport Inner Membrane
ALAabcpp,Transport Inner Membrane
ALAALAabcpp,Transport Inner Membrane
ALAt2pp,Transport Inner Membrane
ALAt2rpp,Transport Inner Membrane
ALAt4pp,Transport Inner Membrane
ALLabcpp,Transport Inner Membrane
ALLTNt2rpp,Transport Inner Membrane
ARBabcpp,Transport Inner Membrane
ARBt2rpp,Transport Inner Membrane
ARBt3ipp,Transport Inner Membrane
ARBTNabcpp,Transport Inner Membrane
ARBTptspp,Transport Inner Membrane
ARGabcpp,Transport Inner Membrane
ARGAGMt7pp,Transport Inner Membrane
ARGORNt7pp,Transport Inner Membrane
ARGt3pp,Transport Inner Membrane
ASCBptspp,Transport Inner Membrane
ASNabcpp,Transport Inner Membrane
ASNt2rpp,Transport Inner Membrane
ASO3t8pp,Transport Inner Membrane
ASPabcpp,Transport Inner Membrane
ASPt2_2pp,Transport Inner Membrane
ASPt2_3pp,Transport Inner Membrane
ASPt2pp,Transport Inner Membrane
ASPt2rpp,Transport Inner Membrane
BALAt2pp,Transport Inner Membrane
BTNt2ipp,Transport Inner Membrane
BUTSO3abcpp,Transport Inner Membrane
BUTt2rpp,Transport Inner Membrane
CADVtpp,Transport Inner Membrane
CBIuabcpp,Transport Inner Membrane
CBL1abcpp,Transport Inner Membrane
CGLYabcpp,Transport Inner Membrane
CHLabcpp,Transport Inner Membrane
CHLt2pp,Transport Inner Membrane
CHTBSptspp,Transport Inner Membrane
CITt3pp,Transport Inner Membrane
CITt7pp,Transport Inner Membrane
CO2tpp,Transport Inner Membrane
CPGNabcpp,Transport Inner Membrane
CRNabcpp,Transport Inner Membrane
CRNDabcpp,Transport Inner Membrane
CRNDt2rpp,Transport Inner Membrane
CRNt2rpp,Transport Inner Membrane
CRNt7pp,Transport Inner Membrane
CRNt8pp,Transport Inner Membrane
CSNt2pp,Transport Inner Membrane
CTBTabcpp,Transport Inner Membrane
CTBTt2rpp,Transport Inner Membrane
CYNTt2pp,Transport Inner Membrane
CYSabc2pp,Transport Inner Membrane
CYSabcpp,Transport Inner Membrane
CYSDabcpp,Transport Inner Membrane
CYStpp,Transport Inner Membrane
CYTDt2pp,Transport Inner Membrane
CYTDt2rpp,Transport Inner Membrane
D-LACt2pp,Transport Inner Membrane
DADNt2pp,Transport Inner Membrane
DALAt2pp,Transport Inner Membrane
DAPabcpp,Transport Inner Membrane
DCYTt2pp,Transport Inner Membrane
DDGLCNt2rpp,Transport Inner Membrane
DGSNt2pp,Transport Inner Membrane
DHAtpp,Transport Inner Membrane
DINSt2pp,Transport Inner Membrane
DMSOtpp,Transport Inner Membrane
